"물량·요금별(1)",2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
"접수물량 (천통)",188715 (천통),164730 (천통),137301 (천통),144954 (천통),154348 (천통),125175 (천통),129814 (천통),119679 (천통),111035 (천통),99417 (천통),83336 (천통)
"요금 (백만원)",439696,387546,330105,347747,388239,323071,328361,305416,285298,260131,224755
